id,reference,prediction,hallucination,omission,critical_error,notes
0,A First Officer and Check Pilot reported a sudden; unexplained shutdown of the right engine on a CRJ-700 aircraft during the landing rollout on a training flight. The Check Pilot noted he never saw the FO pull the right engine shut-off trigger and only observed the First Officer's hand on top of the power levers.,B737-800 flight crew reported the right engine was in shutdown and the engine spooling down.,,,,
1,SD3 First Officer reports loosing 400 feet from FL190 while passing between thunderstorms in IMC with with some moderate down drafts. The engines were operating near their limits; delaying the return to assigned altitude.,B737-800 First Officer reported an altitude deviation due to turbulence in the vicinity of thunderstorms.,,,,
2,MD11 flight crew experiences an Air System 3 low pressure alert while being vectored for approach. A few minutes later an Engine 3 low RPM alert is displayed. The Low RPM Checklist is initiated by the First officer; but the Captain elects to complete the Landing Checklist and land before completing the Low RPM Checklist.,B737-800 flight crew reported receiving a Level 2 'Air System Pressure 3 Lo' alert during approach.,,,,
3,C162 pilot reported contacting the wingtip of a parked aircraft during taxi to parking spot.,C172 pilot reported a near collision with a jet aircraft while taxiing.,,,,
4,B737-700 Captain reported a track deviation occurred when he turned to avoid visible indications of wake turbulence; which did not allow enough time to coordinate with ATC.,B737-800 flight crew reported encountering wake turbulence climbing through FL380.,,,,
5,Tower Controller reported aircraft under their control had to slam on the brakes to avoid contact with another taxing aircraft; resulting in a Flight Attendant injury.,Tower Controller reported an aircraft had to 'slam on the brakes' to avoid hitting another taxiing aircraft on an adjacent taxiway.,,,,
6,B737 flight crew experiences loss of engine oil and engine oil pressure shortly after level off at FL370. The engine is shutdown and flight returns to the departure airport for an overweight landing.,B737-800 flight crew reported a low oil pressure alert during cruise. They declared an emergency and diverted to the nearest suitable airport.,,,,
7,A TRACON Departure Controller reported two aircraft called him executing missed approaches due to windshear and flew below the Minimum Vectoring Altitude due to lack of coordination and no established procedure.,TRACON Controller reported an aircraft was going around due to wind shear.,,,,
8,Two aircraft were on TPA TRACON frequency with similar sound call signs; one aircraft took the other aircraft vector which put it nearly 180 out of the intended track. ATC realized the error and became more accurate.,B737-800 flight crew reported an NMAC with two aircraft with similar sounding callsigns.,,,,
9,B737-900 Captain reported encountering wake turbulence on approach to ANC in trail of a B747.,CRJ-200 Captain reported encountering wake turbulence on approach to Anchorage in trail of a B747.,,,,
